38 Sea Zone  (6411,2750)  (6503,2832)  (6401,2832)  (6615,3003)  (6481,2986)  (6603,3142)  (6614,3072)  (6445,3063)  (6515,2905)  (6405,2905)  (6648,3356)  (6436,3364)  (6614,3289)  (6441,3289)  (6433,3141)  (6601,3215)  (6439,3215)  | overflowToLeft=true
99 Sea Zone  (4310,2190)  (4350,2265)  (4363,2335)  (4335,2390)  (4449,2460)  (4452,2394)  (4572,2393)  (4255,2485)  (4560,2480)  | overflowToLeft=false
Western Ukraine  (4446,1636)  (4503,1685)  (4585,1576)  (4588,1694)  (4525,1742)  (4613,1633)  | overflowToLeft=false
84 Sea Zone  (2509,3983)  (2646,3985)  (2506,3904)  (2506,4059)  (2643,3902)  (2643,4061)  (2508,3827)  (2644,3825)  (2374,3827)  (2373,3904)  (2370,3982)  (2367,4067)  (2239,3825)  (2645,4136)  (2650,4216)  (2508,4138)  (2240,3902)  (2239,3983)  (2231,4064)  (2369,4148)  (2512,4221)  (2656,4292)  (2105,3838)  (2081,3913)  (2106,3985)  (1964,3990)  (2098,4063)  (1959,4067)  (2236,4146)  (2097,4146)  (1954,4149)  (2378,4229)  (2243,4229)  (2111,4229)  (1963,4231)  (2527,4305)  (2379,4312)  (2236,4308)  (2105,4309)  (1961,4312)  (1945,4390)  (2097,4387)  (2245,4389)  (2394,4392)  (1940,4473)  (2086,4465)  (2222,4471)  (2364,4478)  (1936,4557)  (2077,4554)  (2214,4556)  (2358,4564)  (1942,4635)  (2088,4642)  (2256,4647)  | overflowToLeft=false
Kazakhstan  (5600,1802)  (5810,1793)  (5922,1753)  (5811,1871)  (5699,1878)  (5819,1947)  (5948,1679)  (6001,1608)  (5894,1609)  (5792,1612)  (5606,1727)  (5497,1803)  (5359,1750)  (5478,1727)  (5434,1649)  (5560,1639)  (5325,1563)  (5426,1560)  (5529,1565)  (5638,1530)  (5637,1449)  (5736,1413)  (5742,1491)  (5854,1537)  (5893,1466)  | overflowToLeft=false
Shan State  (6710,2673)  (6703,2737)  (6632,2802)  (6631,2869)  (6705,2919)  (6711,2991)  (6725,3062)  | overflowToLeft=true
Paraguay  (1277,3901)  (1280,4009)  (1180,3850)  (1185,3924)  (1328,3950)  | overflowToLeft=false
Syria  (4748,2440)  (4785,2374)  (4829,2421)  (4808,2304)  (4840,2362)  (4930,2357)  (4965,2310)  (4895,2285)  (4944,2261)  (4975,2194)  | overflowToLeft=false
Anhwe  (7235,2340)  (7260,2400)  (7145,2335)  (7055,2355)  (7040,2190)  (7130,2205)  (7040,2285)  (7190,2262)  (7295,2480)  | overflowToLeft=false
Solomon Islands  (9385,4134)  (9357,4061)  (9241,4057)  (9161,3979)  (9638,4008)  (9442,4198)  | overflowToLeft=false


56 Sea Zone  (7735,4503)  (7731,4422)  (7622,4424)  (7626,4501)  (7622,4585)  (7612,4663)  (7628,4744)  (7517,4429)  (7410,4434)  (7526,4507)  (7413,4512)  (7516,4579)  (7416,4588)  (7674,4814)  (7512,4658)  (7404,4672)  (7528,4746)  (7413,4756)  (7404,4832)  (7521,4824)  (7735,5017)  (7842,5029)  (7964,5008)  (7627,5038)  (7521,5047)  (7410,5046)  (7409,5120)  (7509,5127)  (7629,5121)  (7748,5109)  (7858,5116)  (7975,5111)  (7976,5206)  (7862,5206)  (7749,5209)  (7643,5211)  (7539,5220)  (7421,5259)  | overflowToLeft=true


100 Sea Zone  (4544,2037)  (4540,1954)  (4672,1955)  (4686,2024)  (4800,1932)  (4810,2019)  (4925,1978)  | overflowToLeft=false
Marshall Islands  (8964,3121)  (8877,3115)  (8972,3179)  | overflowToLeft=false
9 Sea Zone  (10043,2096)  (9898,1943)  (10039,1987)  (10043,1891)  (9899,1780)  (10042,1697)  (9896,1858)  (10045,1794)  (9903,1701)  (9905,1617)  (9892,1222)  (10042,1221)  (9896,1391)  (10044,1304)  (9901,1308)  (10045,1371)  (10046,1439)  (9902,1464)  (10046,1515)  (10045,1612)  (9897,1540)  | overflowToLeft=true
13 Sea Zone  (9587,2274)  (9587,2203)  (9713,2273)  (9588,2133)  (9711,2202)  (9835,2272)  (9588,2063)  (9708,2131)  (9833,2190)  (9714,2065)  (9835,2127)  (9713,1997)  (9833,2053)  (9831,1993)  (9928,2000)  (9928,2058)  (9919,2138)  (9919,2203)  (9920,2279)  | overflowToLeft=false
115 Sea Zone  (4388,881)  (4269,895)  (4263,949)  (4255,812)  (4268,1005)  (4270,610)  (4254,743)  (4249,670)  (4315,591)  | overflowToLeft=false
there be dragons  (4323,2206)  (4269,2246)  (4362,2262)  (4358,2320)  (4288,2384)  (4408,2380)  (4493,2464)  (4578,2473)  (4664,2476)  (4587,2389)  (4716,2334)  | overflowToLeft=false
Malaya  (6930,3540)  (6890,3490)  (6800,3318)  (6825,3385)  (6736,3257)  (6729,3191)  (6865,3435)  (6731,3124)  | overflowToLeft=true
Argentina  (1111,4129)  (1049,4042)  (1063,3964)  (1032,4202)  (1021,4279)  (1023,4355)  (1238,4315)  (1198,4238)  (1047,4431)  (1068,4505)  (1070,4580)  (1160,4423)  (1115,4636)  (1153,4045)  (1239,4117)  | overflowToLeft=false
28 Sea Zone  (10985,3053)  (10740,3056)  (10606,3617)  (10607,3468)  (10867,3125)  (10615,3136)  (10604,3322)  (10983,3196)  (10743,3206)  (10609,3049)  (10610,3206)  (10857,3050)  (10749,3131)  (10988,3116)  (10604,3394)  (10865,3199)  (10599,3543)  (10732,3317)  (10864,3389)  (10987,3319)  (10738,3476)  (10981,3468)  (10860,3311)  (10860,3463)  (10984,3392)  (10736,3395)  (10727,3547)  (10852,3617)  (10983,3539)  (10732,3621)  (10859,3540)  (10977,3609)  | overflowToLeft=false
